ADD,                               1,02/03/2024,10:30:36,10:32:49,     133,       0,       0,       0,      44,       0,       0,       0,       0
ADD,                               1,02/03/2024,12:37:11,12:39:17,     126,       0,       0,       0,      30,       3,       0,       0,       0
ADD,                               1,02/03/2024,12:55:13,13:14:42,    1169,       0,       1,      16,     417,       8,       0,       0,       0
MOD,                               2,02/08/2024,14:18:54,14:19:55,      61,       0,       0,       0,     114,       0,       0,       0,       0
ADD,                               2,02/08/2024,14:20:23,14:34:25,     842,       0,       1,      19,     379,      33,       0,       0,       0
ADD,                               2,02/08/2024,14:54:09,15:05:13,     664,       0,       1,       6,     240,       3,       0,       0,       0
MOD,                           12344,02/08/2024,18:02:27,18:03:11,      44,       0,       0,       0,       5,       1,       0,       0,       0
MOD,                               1,02/08/2024,18:18:18,18:20:16,     118,       0,       0,       0,     120,      69,       0,       0,       0
MOD,                             555,02/09/2024,13:58:34,14:00:00,      86,       0,       0,       0,       1,       0,       0,       0,       0
MOD,                            5555,02/09/2024,14:10:29,14:16:41,     372,       0,       0,       0,     118,      26,       0,       0,       0
ADD,                             555,02/09/2024,14:20:14,14:25:15,     301,       0,       0,       0,     133,      22,       0,       0,       0
ADD,                             555,02/09/2024,14:25:30,14:27:11,     101,       0,       0,       0,      39,       4,       0,       0,       0
ADD,                             455,02/09/2024,14:52:32,15:01:25,     533,       0,       0,       0,      39,       0,       0,       0,       0
ADD,                              44,02/09/2024,15:28:01,15:32:22,     261,       0,       0,       0,      26,       2,       0,       0,       0
ADD,                              54,02/09/2024,15:42:30,15:45:44,     194,       0,       0,       0,      35,       0,       0,       0,       0
ADD,                               1,02/09/2024,16:24:41,16:26:30,     109,       0,       0,       0,      35,       1,       0,       0,       0
